ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),OUT
-0.56,7.635,1.41,-0.09,9.759,0.959,-0.458,-2.133,0.425,-0.124,0.307,-0.013,13,34.4,-23,-13.5,290.8,-85.2,1.4,3,0
0.419,8.143,-0.62,-0.037,9.758,0.973,0.611,-1.876,-1.51,0.011,0.005,0.054,13,34.1,-24.1,-13.1,289.4,-84.3,2.2,3,0
-0.153,10.796,1.065,0.024,9.782,0.697,-0.17,1.158,0.373,0.219,-0.253,0.132,11,34,-24.2,-13.6,288.9,-85.5,-0.6,3,0
0.23,13.061,0.924,0.086,9.799,0.385,0.144,3.262,0.54,0.369,-0.043,-0.048,11,33.8,-25.1,-12.6,277.7,-87.3,-11.4,3,0
1.013,10.688,1.707,0.122,9.803,0.24,0.877,0.923,1.463,0.228,-0.21,0.014,8,33.2,-24.7,-13,268.5,-88.3,-21.8,3,0
0.271,9.453,0.304,0.006,9.806,0.068,0.585,0.101,-0.592,-0.237,0.156,-0.044,9,34.4,-25.4,-12.7,276,-89.6,-14.7,3,0
-0.333,6.864,0.192,0.088,9.8,0.363,-0.569,-2.679,0.607,0.045,-0.355,0.181,9,32.8,-24.7,-13.2,281.2,-88.3,-9.7,3,0
0.974,7.116,-0.644,0.221,9.798,0.345,0.341,-3.788,-1.453,0,-0.078,-0.144,11,31.7,-24.8,-14.9,260.7,-87.6,-32.7,3,0
0.541,10.834,0.503,0.082,9.805,0.167,0.471,1.115,0.377,0.123,0.1,-0.082,11,32.6,-25.7,-14.3,270.7,-88.4,-21.2,3,0
0.273,13.458,0.158,-0.011,9.806,0.095,0.226,3.714,0.197,0.16,-0.147,-0.031,9,32.8,-25.4,-14,281.5,-89,-10.8,3,0
-1.324,10.662,2.629,-0.022,9.806,0.053,-1.656,1.463,2.847,0.558,0.856,0.184,9,33.5,-24.8,-13.1,310.9,-89.2,19.8,3,0
-0.163,7.841,0.704,0.165,9.8,0.31,-0.471,-1.696,0.124,-0.625,0.185,0.235,8,33.5,-26,-11.1,190.2,-89.5,-98.2,3,0
0.752,7.159,-0.498,0.16,9.788,0.575,0.592,-2.63,-1.073,-0.174,-0.036,0.019,8,32.9,-25.8,-11.8,271.5,-86.7,-17.5,3,0
0.036,9.86,0.936,0.169,9.773,0.796,-0.1,-0.023,0.03,0.068,0.338,-0.063,10,33.4,-25.8,-13.3,274.4,-85.4,-13.6,3,0
-0.089,10.992,0.951,0.217,9.777,0.726,-0.315,1.272,0.349,0.12,-0.162,0.006,8,33.2,-24.8,-11.5,269.4,-85.5,-15.8,3,0
-0.134,13.152,0.668,0.106,9.788,0.597,-0.316,3.268,0.257,-0.255,0.14,0.07,8,32.8,-25.5,-12,275.1,-86.7,-12.4,3,0
