ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),OUT
0.52039,10.71205,-0.1346,2.94325,9.30693,0.94276,-2.13932,2.30173,-0.98654,-1.24445,-0.84662,-0.40195,976,-31.099,-6.189,7.846,32.849,-71.538,-74.858,2,2.5
0.82037,8.55981,3.34296,2.87552,9.23806,1.60003,-1.50144,0.01601,1.5136,-0.34749,-1.6248,0.05238,943,-32.224,-7.626,11.595,57.213,-70.861,-59.033,2,2.5
-0.1976,7.63541,5.1633,2.9168,9.14811,1.99369,-2.87792,-0.65435,3.42576,-0.42952,-0.72998,0.01456,1046,-31.474,-8.377,14.221,63.535,-69.343,-56.808,2,2.5
-0.23827,8.42738,2.60207,3.19107,9.06023,1.97475,-3.11219,0.26761,0.82358,-0.26813,-0.41945,0.25638,1046,-30.724,-7.626,16.345,68.156,-68.194,-57.928,2,2.5
1.7979,9.43567,2.30356,3.50323,9.02385,1.57095,-1.35933,1.30308,0.88777,0.56543,-0.59895,0.23241,1234,-30.724,-5.814,18.471,62.078,-66.999,-62.25,2,2.5
2.61487,11.10144,2.7652,3.28746,9.04188,1.89931,-0.27407,2.93221,0.98682,-0.8732,0.28468,-0.468,1244,-31.474,-6.189,18.408,59.699,-67.135,-65.942,2,2.5
0.66302,11.06442,5.52144,2.81657,9.0701,2.4435,-2.29505,2.68641,0.94924,-0.09769,0.10413,0.02042,1237,-31.099,-8.752,16.283,74.184,-67.592,-50.173,2,2.5
-1.07553,8.53763,5.42714,2.87395,9.09902,2.26243,-3.30107,1.07806,0.74985,-0.78745,0.36351,-0.02965,1453,-32.161,-9.126,14.595,68.17,-68.582,-53.662,2,2.5
-1.52211,6.81487,7.86235,2.7704,8.87077,3.13124,-3.96228,-1.2145,4.96677,-0.65323,0.41359,0.24252,1545,-32.161,-8.752,11.595,75.3,-65.709,-43.172,2,2.5
1.82053,6.59895,5.94395,3.05575,8.46805,3.88909,-1.19917,-1.16374,2.66484,-0.34962,0.02103,0.45451,2287,-34.412,-8.002,4.784,80.654,-61.063,-38.072,2,2.5
2.10414,6.49081,4.31851,2.96413,8.26868,4.36042,0.17276,-0.33308,-0.72468,-1.40317,0.06471,-0.97293,2777,-32.912,-9.126,9.908,78.824,-58.36,-37.08,2,2.5
1.2066,6.15472,5.22545,2.3039,8.26172,4.75461,-0.95337,-1.28019,0.6256,0.02695,-0.71454,-1.39105,2855,-32.536,-10.19,8.221,88.843,-57.401,-25.853,2,2.5
0.31303,6.44827,4.08449,2.04935,8.30339,4.79836,-1.74006,-0.92472,0.18455,-0.56215,-1.16833,-0.49463,2453,-29.224,-16.814,14.532,103.24,-58.596,-22.972,2,2.5
-0.20891,6.09836,3.90962,1.41339,7.50058,6.15744,-1.43344,-0.6533,-2.53822,-2.29906,1.10388,-0.82913,2439,-28.85,-18.314,10.783,115.77,-49.893,-12.928,2,2.5
-0.27016,6.02652,10.37148,0.93619,7.03842,6.76421,-1.07176,-0.08547,4.48121,-0.23138,-0.27884,-0.6443,3398,-27.786,-20.877,5.658,119.464,-45.867,-7.88,2,2.5
-0.10226,5.94875,11.60881,0.33938,6.91048,6.94985,-0.41426,-0.17071,5.1085,0.1649,-0.6096,-1.57321,3398,-26.662,-24.564,5.658,122.617,-44.867,-5.046,2,2.5
-0.10226,5.94875,11.60881,0.33938,6.91048,6.94985,-0.41426,-0.17071,5.1085,0.1649,-0.6096,-1.57321,3398,-26.662,-24.564,5.658,122.617,-44.867,-5.046,2,2.5
0.22456,5.61594,11.7986,0.33938,6.91048,6.94985,-0.41426,-0.17071,5.1085,0.1649,-0.6096,-1.57321,3398,-24.786,-24.939,5.658,129.872,-44.803,-2.796,2,2.5
-2.59763,4.76141,5.83661,1.3289,8.14089,5.30381,-2.75767,-1.90724,1.38271,0.27835,-0.23836,0.6452,4510,-20.412,-27.876,17.471,140.991,-55.714,-12.115,2,2.5
-1.40553,5.41985,6.49696,1.35933,7.96387,5.55873,-3.32197,-1.4242,0.17813,-0.9057,1.19229,0.10617,4510,-23.724,-27.502,10.283,138.197,-54.3,-13.741,2,2.5
-1.39635,5.5921,5.8949,1.16261,7.74626,5.90035,-2.44991,-1.42761,0.54796,0.03067,0.29108,0.2601,5415.0005,-21.474,-27.876,14.096,135.402,-52.013,-10.254,2,2.5
-2.791,6.12563,6.85826,1.20905,7.66354,5.99823,-3.99682,-0.8789,1.72345,-0.05774,-0.20534,0.59193,5035,-23.724,-28.627,13.721,133.685,-51.395,-11.396,2,2.5
-1.55022,6.75539,7.56911,2.03526,7.5275,5.94684,-3.40683,0.17352,2.73406,0.45412,-0.44981,1.29181,3661,-25.537,-24.939,12.846,126.309,-50.06,-14.107,2,2.5
3.2005,6.57237,6.97528,3.39798,7.31547,5.57746,-0.07106,-0.01355,1.69795,-0.35176,1.02025,1.03242,3591,-31.474,-19.44,15.846,110.869,-49.893,-29.328,2,2.5
2.64992,6.15669,8.28575,3.68355,7.30914,5.4017,-0.80952,-0.42747,3.26435,1.26585,-0.01039,0.15144,3051,-33.287,-17.189,14.595,103.075,-46.836,-31.56,2,2.5
2.94623,6.66576,6.38924,3.59892,7.57716,5.07984,0.23015,-0.28375,1.91627,0.57503,0.82957,-0.11752,3051,-33.662,-17.189,14.595,98.165,-49.948,-35.399,2,2.5
2.94623,6.66576,6.38924,3.59892,7.57716,5.07984,0.23015,-0.28375,1.91627,0.57503,0.82957,-0.11752,3051,-33.662,-17.189,14.595,98.165,-49.948,-35.399,2,2.5
2.41039,6.99742,7.28984,3.59892,7.57716,5.07984,0.23015,-0.28375,1.91627,0.57503,0.82957,-0.11752,3051,-33.662,-17.189,13.283,96.154,-50.593,-35.316,2,2.5
0.55762,5.49103,9.77942,1.3112,8.78203,4.16259,-0.63714,-2.51109,5.9865,0.09352,0.43489,-0.53085,2288,-34.036,-18.314,5.971,98.125,-63.598,-19.499,2,2.5
1.79395,4.33081,4.67436,1.10993,8.88316,4.00349,-0.35455,-2.48297,4.50386,0.49939,0.2767,-0.58624,2970,-32.161,-20.877,7.283,102.52,-64.935,-15.496,2,2.5
0.23508,5.39427,4.13284,0.43125,9.12759,3.5597,-0.18814,-2.85576,0.94191,-0.07266,-0.46419,-0.89464,2970,-32.161,-23.502,9.845,102.77,-67.928,-9.92,2,2.5
0.23508,5.39427,4.13284,0.43125,9.12759,3.5597,-0.18814,-2.85576,0.94191,-0.07266,-0.46419,-0.89464,2970,-32.161,-23.502,9.845,102.77,-67.928,-9.92,2,2.5
0.23508,5.39427,4.13284,0.43125,9.12759,3.5597,-0.18814,-2.85576,0.94191,-0.07266,-0.46419,-0.89464,4669,-32.161,-23.502,9.845,102.77,-67.928,-9.92,2,2.5
4.01921,6.84773,3.80728,1.19198,9.32212,2.80137,1.93005,-1.43522,1.91231,0.11217,-2.04025,-0.0632,3596,-29.224,-21.252,28.471,118.237,-71.914,-23.05,2,2.5
4.46941,6.6133,3.67148,1.32975,9.32308,2.7354,2.81276,-1.61091,1.32551,-0.2937,-1.24609,-0.44829,3596,-28.474,-20.502,30.22,118.237,-71.914,-23.05,2,2.5
4.46941,6.6133,3.67148,1.32975,9.32308,2.7354,2.81276,-1.61091,1.32551,-0.2937,-1.24609,-0.44829,3596,-28.474,-20.502,30.22,118.237,-71.914,-23.05,2,2.5
4.54964,6.53658,3.85716,0.69319,9.545,2.14074,3.93692,-2.10505,1.79981,0.6629,0.1478,-0.35828,3363,-28.474,-21.252,31.471,124.775,-76.735,-17.942,2,2.5
-0.52701,5.76373,5.1523,0.66747,9.67709,1.44181,-1.28956,-2.96803,3.82418,0.25491,-0.36885,-0.07225,3363,-22.6,-28.627,30.157,126.351,-79.651,-22.164,2,2.5
-0.52701,5.76373,5.1523,0.66747,9.67709,1.44181,-1.28956,-2.96803,3.82418,0.25491,-0.36885,-0.07225,3363,-22.6,-28.627,30.157,126.351,-79.651,-22.164,2,2.5
-0.52701,5.76373,5.1523,0.66747,9.67709,1.44181,-1.28956,-2.96803,3.82418,0.25491,-0.36885,-0.07225,3363,-22.6,-28.627,30.157,126.351,-79.651,-22.164,2,2.5
-1.20195,8.17247,4.35895,-0.07991,9.72592,1.25322,-1.24564,-0.58074,3.22532,-0.15947,0.88124,-0.25708,4287,-24.411,-27.502,29.659,139.089,-83.128,-5.331,2,2.5
-1.59549,8.9277,4.54007,-0.26837,9.71512,1.30949,-1.32278,0.04988,3.54657,0.03281,1.22585,0.07582,4392,-24.1,-26.752,26.346,151.499,-82.166,11.582,2,2.5
-0.65637,8.62125,5.78415,-0.2589,9.68868,1.49428,-0.86871,0.10743,3.99159,-0.22499,0.47217,0.31497,4392,-27.037,-27.502,21.721,142.982,-81.104,9.829,2,2.5
-1.08281,8.51152,8.22807,-0.06038,9.62319,1.88706,-1.00296,-0.28023,6.08724,-0.40662,0.02795,0.20578,3969,-27.412,-27.502,20.845,136.802,-79.861,4.917,2,2.5
0.36118,6.86697,7.59168,0.17267,9.54891,2.22686,0.22749,-1.52082,5.88476,-0.08492,0.1494,0.34692,3388,-26.662,-24.939,19.595,131.003,-77.118,-2.098,2,2.5
1.08575,6.30765,9.80513,0.51131,9.5127,2.32754,0.41336,-2.30262,7.62834,0.5239,-0.49402,0.5195,3388,-27.786,-24.19,18.721,125.342,-75.844,-6.979,2,2.5
1.33185,5.63214,6.91922,0.52306,9.53878,2.2155,0.7118,-3.05049,4.87977,-0.11633,0.2213,-0.4238,3539,-27.037,-25.314,18.784,117.898,-76.628,-15.677,2,2.5
1.06514,5.83232,5.68713,0.2774,9.57159,2.11616,0.81415,-2.82815,3.77241,0.33427,-0.78751,-0.37,3849,-25.162,-24.939,20.409,125.406,-76.591,-8.937,2,2.5
1.11685,7.5602,5.58402,-0.15856,9.50892,2.39285,1.07579,-0.96066,3.65336,-1.15976,0.38908,-0.82539,4486,-23.349,-28.627,22.159,140.814,-76.968,0.281,2,2.5
-1.72636,6.8347,6.40544,-0.49025,9.49221,2.41412,-1.28354,-1.73931,4.22484,1.01392,-0.44342,0.38315,4927,-22.224,-28.627,12.784,142.167,-73.814,11.347,2,2.5
1.7847,7.79192,5.55174,-0.30481,9.60255,1.96683,1.00026,-0.85563,0.08509,-0.81409,-0.95102,-0.48718,6190,-21.474,-26.752,24.283,151.196,-78.796,8.278,2,2.5
-0.69084,6.34822,8.08772,-1.4699,9.18769,3.09776,0.9482,-1.93217,5.04625,-0.617,-1.02666,-1.80917,6458,-14.099,-31.94,25.096,177.089,-69.535,25.385,2,2.5
-0.66487,8.89861,7.01138,-1.67561,9.17189,3.03961,0.03491,0.13697,5.09515,0.8717,-2.09245,-0.30714,6648.9995,-8.224,-31.564,28.534,190.247,-69.272,28.866,2,2.5
0.82455,8.44196,7.39247,-1.63883,9.14831,3.1294,1.14249,1.09853,2.70461,-0.79384,-1.06873,-0.92126,6648.9995,-3.787,-31.94,29.346,193.602,-68.886,27.64,2,2.5
-0.11591,6.54961,6.99712,-2.61947,8.71352,3.65833,2.23347,-1.43378,3.45086,0.39659,-0.49242,-0.93459,5305,1.338,-32.689,28.471,204.869,-62.958,34.061,2,2.5
-0.4207,5.44276,6.69569,-2.86803,8.63351,3.6616,2.54353,-2.35945,3.40438,0.35185,0.10999,-0.1937,5310,3.963,-33.064,28.534,212.06,-61.687,38.071,2,2.5
-0.51988,6.63278,6.17134,-2.39283,8.93871,3.2472,1.62622,-1.4989,3.30395,0.44186,-1.14703,0.19087,5228,5.4,-31.189,30.22,214.241,-65.713,36.386,2,2.5
-1.2032,6.96902,6.17264,-2.09946,8.87104,3.61488,0.70158,-1.00599,2.88151,-0.46681,-0.16858,0.16476,4669,5.4,-32.689,29.784,214.06,-65.587,32.718,2,2.5
-1.35937,6.60207,6.36861,-1.90661,8.69042,4.12454,0.40601,-1.21533,2.51108,-0.34749,0.58029,0.62283,4945,4.651,-32.315,27.658,204.651,-62.397,24.809,2,2.5
-0.47984,6.7417,6.21581,-1.34502,8.89821,3.89657,0.877,-1.19983,2.69013,0.51857,0.69534,1.06438,5363,0.276,-32.689,21.283,198.386,-62.949,22.015,2,2.5
-1.15137,7.35609,5.47272,-0.82966,9.12214,3.50265,-0.40895,-0.88607,2.70367,0.20857,1.12093,0.85666,5384.9995,-3.787,-29.376,29.408,185.729,-67.766,15.305,2,2.5
-0.14285,8.41846,5.4785,-0.34732,9.40506,2.75584,0.41213,-0.03397,2.70285,0.91805,0.42636,0.62016,5594,-7.474,-27.876,31.096,175.667,-71.327,9.575,2,2.5
-0.80232,8.4859,5.62059,-0.33382,9.46861,2.5307,-0.50031,-0.08054,3.33102,0.13507,1.05222,0.19992,5594,-11.162,-25.314,30.22,167.729,-74.74,6.799,2,2.5
0.11952,8.42293,6.6481,0.01056,9.56328,2.17118,-0.00911,-0.21531,5.04604,0.99155,0.57071,0.8215,5767.0005,-13.411,-24.19,28.908,162.964,-75.633,4.457,2,2.5
2.68344,7.96648,10.39264,0.55768,9.60823,1.88181,1.86641,-0.52468,7.62817,0.37422,0.92331,0.71124,5782,-17.787,-20.126,28.908,138.968,-78.694,-13.01,2,2.5
4.22221,7.11336,7.14789,1.23296,9.66759,1.08989,3.10348,-1.65861,6.15897,1.31325,0.32198,0.61858,5446,-20.787,-17.564,28.096,116.357,-79.243,-31.371,2,2.5
2.58723,6.63921,4.98071,1.31258,9.69345,0.69604,1.38163,-2.13428,4.13647,-0.18079,0.33049,-0.21873,4985,-21.849,-15.752,28.908,80.485,-81.028,-66.37,2,2.5
2.10663,7.01736,4.42116,1.05291,9.69387,1.04438,1.15449,-1.7487,3.47674,-0.51314,-0.0024,-0.32526,5355,-22.6,-17.564,26.784,89.506,-81.514,-54.415,2,2.5
0.46193,7.57405,5.30043,0.6373,9.62414,1.77207,0.0153,-1.15663,3.13322,-0.68518,-0.13876,-0.42113,5646,-21.1,-20.877,25.533,106.076,-80.866,-38.432,2,2.5
0.78737,8.07262,4.01462,0.38469,9.59491,1.99001,0.45702,-0.62882,2.31685,-0.1371,-0.28149,-0.35509,5742,-22.6,-19.064,20.409,129.13,-78.492,-17.537,2,2.5
-0.14548,8.66098,3.94724,0.12395,9.55615,2.19887,-0.30624,0.01674,1.99909,-0.27931,-0.51746,-0.26401,5490,-18.161,-22.69,24.596,133.992,-77.403,-4.537,2,2.5
-0.65015,8.12917,3.49893,0.1262,9.5303,2.3082,-0.73576,-0.39136,1.63489,0.09885,-0.8578,0.04227,5447.0005,-17.787,-24.19,25.096,146.269,-76.366,-3.129,2,2.5
1.71512,8.12271,5.11275,0.7024,9.48054,2.40757,1.0807,-0.44017,2.93821,-0.41354,-0.71666,0.00923,4759,-13.724,-23.064,28.845,140.971,-76.635,-14.541,2,2.5
1.58698,8.33597,5.63484,1.02444,9.46111,2.36818,0.67475,-0.34677,3.45424,0.3838,-1.08311,0.20578,4287,-14.474,-23.814,28.471,137.05,-74.745,-23.392,2,2.5
1.82381,10.10011,3.28925,1.27765,9.52339,1.96037,0.3166,2.01379,3.61049,-0.56001,-0.01785,0.09286,2960,-11.537,-23.439,30.595,132.063,-76.195,-33.094,2,2.5
2.70216,9.75317,6.97847,1.43811,9.50357,1.94537,1.43571,1.17889,5.87939,0.72096,-0.3795,0.1147,2960,-10.786,-23.439,31.845,132.07,-75.358,-33.422,2,2.5
2.70216,9.75317,6.97847,1.43811,9.50357,1.94537,1.43571,1.17889,5.87939,0.72096,-0.3795,0.1147,2960,-10.786,-23.439,31.845,132.07,-75.358,-33.422,2,2.5
2.60751,9.45052,5.62091,1.43811,9.50357,1.94537,1.43571,1.17889,5.87939,0.72096,-0.3795,0.1147,2960,-11.162,-23.814,31.845,131.344,-75.718,-36.474,2,2.5
0.74414,7.78909,3.0713,0.83049,9.44214,2.5153,0.19505,-0.67627,1.01616,-0.4407,0.90733,-0.10901,3334,-13.724,-24.19,32.658,143.907,-74.329,-18.272,2,2.5
0.13387,8.34013,3.93379,0.5632,9.34961,2.90482,-0.07509,-0.55203,1.15397,-0.17865,0.93343,0.14932,3750,-16.35,-24.939,29.221,147.555,-72.439,-10.973,2,2.5
0.33757,8.35539,3.86746,0.4711,9.31428,3.03195,-0.13003,-0.17772,1.18045,-0.03165,1.29242,0.22868,3750,-18.161,-24.564,25.034,142.504,-71.872,-9.349,2,2.5
0.33757,8.35539,3.86746,0.4711,9.31428,3.03195,-0.13003,-0.17772,1.18045,-0.03165,1.29242,0.22868,3750,-18.161,-24.564,25.034,142.504,-71.872,-9.349,2,2.5
0.27101,8.47502,3.92311,0.4711,9.31428,3.03195,-0.13003,-0.17772,1.18045,0.83815,0.60852,0.97118,3750,-21.474,-24.939,28.409,141.094,-71.767,-8.832,2,2.5
2.74142,8.39288,4.82623,2.61275,9.4415,0.44943,0.03783,-0.01498,3.91138,0.22881,1.50175,-0.31035,4692,-30.35,-19.002,10.596,36.488,-74.316,-80.24,2,2.5
1.9157,8.78653,4.16858,1.99792,9.60036,0.10901,-0.51681,0.08373,4.2091,0.06583,0.87964,-0.42805,4803,-31.787,-21.252,8.908,18.597,-77.583,-85.887,2,2.5
0.84412,8.11037,7.36606,1.80069,9.62324,0.56677,-2.48388,-0.46673,6.45805,-0.08064,0.11211,0.57596,3634,-35.849,-19.002,2.095,30.241,-79.756,-75.329,2,2.5
1.38927,8.56191,4.06033,2.11474,9.56171,0.52149,0.4955,0.22625,2.88435,-0.69797,0.66872,-0.09622,3366,-31.787,-20.126,6.346,22.247,-77.395,-77.123,2,2.5
-0.57132,7.09628,5.19154,1.97939,9.52186,1.25957,-1.34896,-0.86643,3.76445,-0.41248,0.21597,0.23933,3376,-31.412,-18.314,2.971,44.722,-76.158,-57.53,2,2.5
1.00533,7.86136,3.06421,2.4176,9.36991,1.59071,-1.18893,-0.64294,1.62045,-0.33684,-0.1084,0.41351,3889,-29.974,-20.126,2.095,44.39,-73.441,-56.858,2,2.5
0.75551,7.91267,3.42217,2.51552,9.29417,1.86037,-1.2431,-0.4394,1.04934,-0.6543,-0.00826,0.28354,4059,-29.224,-19.377,0.845,49.393,-71.395,-53.515,2,2.5
1.87637,8.06068,3.88608,2.89844,9.14944,2.01423,-0.77519,-0.20561,2.1685,0.22881,-0.14568,0.02255,4303,-31.474,-18.314,1.283,47.878,-68.905,-55.203,2,2.5
-0.40131,8.22702,3.21844,2.83043,9.18379,1.95372,-2.48304,-0.30672,0.82579,-0.03111,-0.5116,-0.02539,4109,-31.099,-16.064,-0.404,43.812,-69.355,-55.548,2,2.5
-0.54437,9.18967,3.94045,3.1224,9.12238,1.78976,-1.98625,1.01943,2.60975,-0.44656,-1.55823,0.19139,4109,-30.35,-17.94,5.971,53.613,-68.47,-60.179,2,2.5
1.4859,9.31673,6.51524,3.29715,9.0449,1.8679,-1.35976,1.09596,4.79087,-0.12166,-1.19017,0.03746,4006,-29.599,-17.564,9.346,61.525,-67.651,-58.848,2,2.5
0.36511,9.51918,6.74359,3.35559,9.06188,1.67116,-2.45346,1.25128,5.61472,0.12282,-0.77205,0.22548,3626,-30.35,-16.814,11.096,56.794,-67.654,-61.855,2,2.5
2.88297,8.44911,5.12849,3.59932,8.98841,1.55685,-0.61625,0.18957,3.94587,-0.119,0.72517,0.15358,3183,-35.162,-15.002,22.159,55.066,-66.87,-68.7,2,2.5
-0.41107,7.61494,6.04271,3.77099,8.84556,1.92513,-3.96892,-0.41346,4.31322,0.45412,1.45116,0.7709,3432,-36.224,-11.69,21.721,67.537,-65.106,-62.831,2,2.5
0.02342,7.52489,8.13797,4.1945,8.66128,1.88649,-3.79105,-0.35167,6.42239,1.30685,1.78671,1.00313,3432,-36.974,-6.877,14.908,56.098,-62.713,-63.3,2,2.5
0.72777,7.14926,4.77771,4.60195,8.53257,1.4791,-3.67505,-0.56439,3.35585,1.13376,2.45782,0.66544,4321,-38.1,-1.376,5.595,34.257,-60.842,-71.671,2,2.5
-0.19167,7.43701,5.61957,4.78466,8.3788,1.75306,-4.40728,0.10256,3.76766,1.32018,2.55051,0.76558,5572.9995,-35.849,-0.252,-4.218,18.868,-59.38,-70.432,2,2.5
0.07417,8.01459,5.81407,4.71004,8.34669,2.07815,-4.84327,0.48775,2.93862,0.95639,2.98193,0.71498,10075,-28.099,0.124,-15.216,355.786,-58.513,-67.895,2,2.5
0.12016,8.41653,4.67152,4.56087,8.07881,3.17831,-3.6964,1.09211,2.29807,0.47382,3.83041,1.3568,9094,-20.036,0.124,-23.717,335.479,-57.404,-60.828,2,2.5
3.14003,9.45612,4.29117,4.55798,7.69233,4.02782,-1.829,2.65407,-1.91037,-0.63298,2.18726,0.92909,2828,-8.6,0.873,-27.53,330.527,-54.857,-53.677,2,2.5
3.64992,9.24538,5.57845,4.47099,7.49635,4.4705,-0.39966,2.45558,1.52931,-0.95256,1.77499,0.59407,2828,-6.349,1.624,-29.218,319.621,-50.781,-46.806,2,2.5
3.64992,9.24538,5.57845,4.47099,7.49635,4.4705,-0.39966,2.45558,1.52931,-0.95256,1.77499,0.59407,2828,-6.349,1.624,-29.218,319.621,-50.781,-46.806,2,2.5
3.75623,9.2984,6.3094,3.28604,6.50417,6.56263,0.72691,3.4067,0.10983,-0.16161,0.31345,-0.22032,2972,-6.036,2.686,-28.404,340.834,-41.547,-26.598,2,2.5
3.56541,6.54866,4.90054,2.92142,6.43444,6.79954,0.92083,0.72395,-1.25466,-0.55894,0.30705,-0.45522,2972,2.089,8.623,-30.53,330.026,-41.456,-24.393,2,2.5
2.19252,7.2085,4.85794,2.80821,6.40541,6.87423,-0.19037,1.34028,-1.43083,-0.31128,-0.01146,-0.28424,3272,3.963,10.06,-28.842,327.661,-40.978,-22.497,2,2.5
-0.78586,9.65678,5.43553,2.92891,5.99254,7.18897,-3.43999,4.22644,-1.07901,-0.50676,-0.15527,0.01776,3470,3.589,12.686,-29.279,330.635,-38.665,-22.121,2,2.5
-1.14507,10.15419,8.0995,3.06836,5.77891,7.30477,-4.20152,4.74646,1.08732,0.89354,-0.3156,0.97064,3739,2.838,13.06,-29.279,331.308,-36.106,-22.785,2,2.5
-1.14507,10.15419,8.0995,3.16363,5.84069,7.21444,-4.07712,4.76143,1.50594,1.12257,-0.54089,1.06491,3739,2.089,13.06,-34.341,331.308,-36.106,-22.785,2,2.5
-1.14507,10.15419,8.0995,3.16363,5.84069,7.21444,-4.07712,4.76143,1.50594,1.12257,-0.54089,1.06491,3739,2.089,13.06,-34.341,331.308,-36.106,-22.785,2,2.5
-1.07614,10.14107,8.00751,3.16363,5.84069,7.21444,-4.07712,4.76143,1.50594,0.05678,-0.22931,-0.06586,3739,2.089,11.186,-35.217,329.937,-36.554,-23.678,2,2.5
-1.07614,10.14107,8.00751,3.16363,5.84069,7.21444,-4.07712,4.76143,1.50594,0.05678,-0.22931,-0.06586,3739,2.089,11.186,-35.217,329.937,-36.554,-23.678,2,2.5
-1.07614,10.14107,8.00751,3.16363,5.84069,7.21444,-4.07712,4.76143,1.50594,0.05678,-0.22931,-0.06586,2572,2.089,11.186,-35.217,329.937,-36.554,-23.678,2,2.5
1.96986,8.43283,3.0881,1.61257,8.94011,3.69385,0.38081,-0.44665,-0.89536,0.14305,-0.09668,-0.03177,2672,7.651,1.248,-29.716,321.613,-65.091,-21.266,2,2.5
1.24825,7.88173,2.70401,1.70505,9.01632,3.45966,-0.38409,-0.65531,-0.54689,-0.08864,-0.14035,0.12642,2679,6.902,1.999,-31.404,319.418,-66.868,-25.98,2,2.5
1.75903,6.84651,2.88843,1.80053,8.91245,3.6738,0.05892,-1.25133,-0.55562,-0.51208,0.22769,-0.02325,2708,6.526,2.373,-31.404,319.5,-65.342,-26.109,2,2.5
4.00243,5.89732,8.45541,1.64078,8.55167,4.51079,2.89247,-1.99707,4.65444,0.04239,-0.11052,-0.58678,2708,7.651,4.936,-30.966,324.575,-60.695,-19.989,2,2.5
4.52818,6.6917,7.10542,2.20527,7.79338,5.52905,2.32254,-0.37768,2.15568,-1.71317,-1.42825,0.19353,2974,4.338,9.373,-31.404,330.774,-52.627,-21.745,2,2.5
5.2825,6.62175,6.63007,3.30286,6.85691,6.18419,2.27678,0.25568,1.04508,-1.59705,-1.67273,0.00125,2974,-0.475,14.124,-28.842,336.846,-47.27,-25.667,2,2.5
5.2825,6.62175,6.63007,3.30286,6.85691,6.18419,2.27678,0.25568,1.04508,-1.59705,-1.67273,0.00125,2974,-0.475,14.124,-28.842,336.846,-47.27,-25.667,2,2.5
5.2825,6.62175,6.63007,3.30286,6.85691,6.18419,2.27678,0.25568,1.04508,-1.59705,-1.67273,0.00125,2974,-0.475,14.124,-28.842,336.846,-47.27,-25.667,2,2.5
5.03152,6.05174,8.48807,4.7763,5.93495,6.17525,0.68505,0.46642,2.92858,-0.06787,-1.66847,-1.71542,8023.0005,-22.224,19.31,-17.842,329.422,-34.945,-35.326,2,2.5
3.11914,6.61433,3.64735,4.66719,6.73696,5.38527,-1.34296,0.26052,-1.45782,-0.41461,-1.60083,-1.46935,10909,-30.35,13.435,-12.341,22.179,-42.614,-40.574,2,2.5
2.3046,6.52837,4.10788,4.54134,7.00884,5.14032,-1.88433,0.00657,-0.68664,-0.76295,-1.57579,-1.15404,12475,-32.161,9.373,-9.341,34.465,-45.619,-41.46,2,2.5
2.86003,7.49237,5.78842,4.43022,6.97775,5.27775,-1.34662,0.7652,0.81127,-0.74857,-0.87059,-0.77426,8163.0005,-35.849,4.936,-4.279,48.446,-45.36,-40.011,2,2.5
5.35413,9.06877,8.98375,4.24618,7.03044,5.35848,1.08731,2.35267,3.66708,0.1617,-0.79016,-1.01927,6498,-38.411,3.123,0.783,59.544,-44.039,-38.162,2,2.5
4.56906,7.40747,5.90285,4.22831,7.43391,4.79883,0.35075,0.38292,1.48874,0.34439,-1.4272,-0.59956,6498,-37.724,-1.689,2.971,63.378,-48.084,-39.598,2,2.5
1.38477,6.47809,6.46773,3.85272,7.65743,4.76347,-2.2461,-0.83773,1.84608,0.1926,-0.56166,-0.32579,5984,-38.786,-5.377,8.034,72.466,-51.338,-38.966,2,2.5
0.85109,6.27293,5.1689,3.74968,7.87893,4.47581,-2.57469,-1.07842,0.57918,0.07382,0.32516,-0.08664,5912,-37.349,-6.502,9.721,75.42,-53.203,-40.585,2,2.5
-0.10757,5.49658,4.75526,3.47522,7.863,4.71873,-3.4247,-1.94462,0.28788,0.10791,0.99309,0.45293,5906,-38.786,-7.939,8.034,73.546,-53.706,-37.342,2,2.5
0.43242,5.94592,4.9836,3.35209,7.61174,5.19571,-2.68982,-1.14389,0.14415,-0.34004,1.38724,0.797,5906,-39.162,-3.564,2.095,68.581,-51.691,-33.648,2,2.5
2.73236,8.21217,7.39677,2.9934,7.0156,6.1637,-0.28939,1.57637,1.68872,-0.33525,2.15743,0.72617,5772.9995,-36.6,2.373,-6.404,59.938,-47.879,-28.993,2,2.5
2.77847,8.83438,6.79585,2.39319,6.77373,6.6753,0.77108,2.41147,0.01209,1.01764,1.03889,1.55867,5113,-30.35,7.123,-16.154,50.645,-43.151,-19.236,2,2.5
3.26799,6.99359,3.7475,2.44928,6.94351,6.47758,1.05198,0.83825,-2.61653,0.11696,1.71587,0.99834,3674,-26.286,7.874,-21.654,34.081,-45.172,-21.148,2,2.5
