Row,DOWN
420,0.087344816
421,-0.055482687
422,0.050169491
423,0.017125223
424,0.028604072
425,-0.052916958
426,-0.038885849
427,0.110210293
428,0.042356125
429,0.061208627
430,-0.106332812
431,-0.112621243
432,-0.03388208
433,-0.023274662
434,-0.029489577
435,-0.008698031
436,-0.138948396
437,0.053289935
438,-0.021860976
439,-0.021986266
440,-0.079273475
441,-0.226396049
442,0.22285466
443,0.003407384
444,-0.082028366
445,-0.034700938
446,0.078798087
447,-0.034277695
448,-0.015323851
449,-0.057539436
450,0.047308055
451,0.085588181
452,0.048083752
453,0.034770232
454,0.062992321
455,0.031753731
456,-0.11451667
457,0.203488736
458,0.050847428
459,-0.1243255
460,-0.014409212
461,0.099568639
462,0.100638062
463,-0.012422591
464,0.029548054
465,0.041859743
466,0.128745993
467,-0.079628274
468,0.01467532
469,0.137484919
470,0.060018803
471,-0.088066861
472,-0.077799319
473,-0.071052082
474,-0.056824377
475,0.07552938
476,0.048822333
477,-0.070028176
478,0.062877737
479,-0.036721246
480,-0.064646153
481,-0.032289488
482,0.044149847
483,-0.038661307
484,-0.109875726
485,-0.077384621
486,0.153863624
487,-0.049728997
488,0.030087553
489,0.055203907
490,0.183454344
491,-0.037571006
492,-0.021219903
493,0.085327602
494,-0.181838915
495,0.011644145
496,-0.052539753
497,-0.023742457
498,0.065500847
499,-0.066144603
500,-0.075286239
501,0.034855013
502,0.031435879
503,0.004811932
504,-0.0299009
505,0.062438371
506,0.010653201
507,0.073740848
508,-0.045018919
509,0.102599677
510,-0.001139595
511,0.04139307
512,-0.004171593
513,-0.078113545
514,0.118689806
515,0.011044883
516,-0.009318299
517,0.084638689
518,0.142317496
519,-0.039587367
520,-0.021724968
521,-0.042360591
522,0.018841014
523,0.110726744
524,0.006578672
525,0.007919924
526,0.001662238
527,-0.041148693
528,-0.084323329
529,-0.080318974
530,0.114535262
531,0.020699955
532,0.013637283
533,0.007337727
534,-0.070015366
535,0.046900207
536,-0.064504743
537,0.197303675
538,0.102256529
539,-0.019589383
540,0.006525988
541,0.007627001
542,0.027787587
543,0.161932152
544,0.042587693
545,0.049168118
546,0.209898934
547,-0.093666411
548,-0.016704498
549,0.087476587
550,0.013703467
551,0.028609772
552,0.034868587
553,-0.020715989
554,-0.051988085
555,0.03501365
556,-0.044431755
557,-0.14150862
558,0.061285836
559,0.032223744
560,-0.028912989
561,-0.133699585
562,0.128506918
563,-0.029626364
564,0.126358235
565,-0.037098897
566,0.042942682
567,0.051991237
568,0.081260129
569,-0.035127784
570,-0.025132707
571,-0.111070002
572,0.045079254
573,0.028308799
574,-0.128641406
575,0.026817744
576,0.06934743
577,0.039319257
578,0.066123894
579,0.064189387
580,0.051781881
581,-0.129456888
582,-0.00786032
583,-0.054344136
584,-0.053958074
585,0.012918328
586,0.028062257
587,-0.032215899
588,-0.09346084
589,0.003108986
590,0.090115329
591,-0.034414456
592,0.018854182
593,0.060267378
594,0.016477897
595,0.110767341
596,-0.056795122
597,-0.201290737
598,0.033234394
599,0.131832034
600,-0.001169008
601,-0.127444269
602,0.080556313
603,0.064749314
604,0.063474319
605,-0.023315769
606,0.035472794
607,0.001082824
608,0.12460186
609,0.034995885
610,0.0738813
611,0.003808873
612,-0.064389827
613,-0.010667906
614,0.012524255
615,-0.053854931
616,-0.063306454
617,-0.028055088
618,-0.063815883
619,0.077549796
620,0.033182108
621,-0.044225817
622,-0.080221843
623,-0.012724267
624,0.300923592
625,0.014211591
626,-0.066938072
627,0.014041571
628,0.023214952
629,-0.049231395
630,0.043646215
631,0.063046353
632,0.131613825
633,0.017559528
634,-0.02337877
635,-0.027153797
636,0.028425154
637,0.153391817
638,0.063009115
639,-0.023886113
640,-0.017779163
641,-0.06205224
642,-0.08132828
643,0.017635983
644,-0.078560709
645,-0.069169033
646,-0.011393517
647,0.145638987
648,-0.0012955
649,-0.033126587
650,-0.023921433
651,0.032885911
652,-0.21055419
653,0.018636616
654,0.131587743
