Row,DOWN0,DOWN1,DOWN2,DOWN3
211,-0.011200362,-1.107510513,0.022430531,0.111032475
212,0.281204002,-0.829711636,-0.103269181,0.098008741
213,-0.027393069,-0.688974982,0.127169785,0.055446797
214,0.018269699,0.866518311,0.031463463,0.092054925
215,0.181597219,0.988055398,-0.053968158,0.249786819
216,-0.022936341,0.988055398,0.122638397,0.356930179
217,0.328503804,0.593839448,-0.173793879,-0.012490534
218,-0.531064592,0.173630715,0.03004314,-0.029290044
219,-0.330707877,0.763786662,0.054952838,0.250160864
220,-0.132324793,0.141959983,-0.094527867,0.014815898
221,0.141296856,0.211474633,0.067818632,0.121955409
222,-0.789086315,0.031701307,-0.107285832,0.070476337
223,0.025926075,0.217768558,-0.127189573,0.281094451
224,0.001500451,0.242665026,-0.027993142,-0.281085042
225,-0.34660027,-0.014538123,0.072653011,0.125710542
226,-0.301242516,-0.176581947,-0.062089822,0.05957476
227,-0.010172303,-0.763543129,0.059350618,-0.10658069
228,0.096749644,-0.000306765,0.046764496,-0.15548331
229,0.107548274,-0.163897569,-0.094137264,0.063561199
230,-0.128480083,0.167232051,0.1321593,-0.509984389
231,-0.050106895,0.006677315,-0.050958241,0.100410001
232,0.470564566,0.271036676,0.121200804,-0.020725037
233,-0.107686777,-0.291931512,-0.012444737,0.145317505
234,0.058538397,0.259015861,0.253461555,-0.553592504
235,0.008299982,0.238690147,-0.048273126,0.439721802
236,0.120413671,0.48091044,-0.118483605,0.144567442
237,-0.01635356,-0.076946612,0.088375937,-0.144821593
238,0.009072427,-0.076946612,-0.096923138,-0.19666992
239,0.113905733,-0.019483162,0.063781872,0.311610115
240,-0.002907418,-0.070943868,-0.022253006,-0.197131565
241,-0.045299276,-0.0474369,0.214888796,-0.02170181
242,-0.102574079,0.166692164,-0.044193067,-0.516367026
243,0.424982392,-0.240670775,0.027585205,-0.08824685
244,-0.049007957,-0.221711131,0.009800185,-0.07928617
245,0.072671232,-0.598662561,-0.088517757,0.594090333
246,0.038469539,-0.193405573,-0.039759047,0.510521964
247,0.083599349,0.348026757,0.029033777,0.373236095
248,0.000676443,0.054673036,0.014357516,0.123126774
249,-0.053054823,-0.205994663,0.009781728,0.194031388
250,-0.04950782,-0.174130426,-0.030007582,-0.465871022
251,-0.215995368,-0.078662762,-0.050734773,0.835034042
252,-0.19919355,-0.678612991,0.750860917,0.298055478
253,-0.020635496,-0.100674921,0.099689687,-0.193689507
254,-0.132324793,-0.350199374,0.003279319,-0.024626055
