ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GRAVITY_X,GRAVITY_Y,GRAVITY_Z,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,MAGNETIC_FIELD_X,MAGNETIC_FIELD_Y,MAGNETIC_FIELD_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,PRT_X,PRT_Y,PRT_Z,OUT
3.97871,6.83771,2.52975,5.23125,3.46618,7.53591,-0.19991,4.0063,-3.12618,-0.03751,-0.69643,-0.27573,24.963,-15.002,-22.78,246.435,-20.073,-33.393,4.276115956,6.945279989,1.569064871,2.5
5.10709,7.76559,3.20491,5.73937,3.37643,7.19929,0.59762,5.14073,-2.47491,-0.84657,-1.0144,-0.6933,22.775,-13.19,-24.904,252.769,-20.139,-38.562,5.46846947,7.901682689,2.077849072,2.5
7.20248,7.36685,3.97917,6.26787,3.08022,6.88451,2.21049,5.15114,-1.2712,-1.42821,-1.05595,-1.00436,20.526,-9.502,-28.78,258.394,-18.306,-42.316,7.627525633,7.522091086,2.686817705,2.5
4.52837,6.40646,8.31905,6.33802,2.7944,6.94199,-0.67566,4.18379,2.06381,-1.26309,-1.98752,-0.80782,16.151,2.31,-33.905,279.795,-16.556,-42.396,5.500649736,6.774757632,7.389246849,2.5
5.71625,7.06491,7.09584,7.50771,2.66262,5.71972,0.20013,5.03145,2.85701,-1.28918,-1.55023,-1.21262,9.088,10.435,-38.155,291.887,-15.377,-49.812,6.394978114,7.358812193,6.155611319,2.5
3.21265,5.91602,5.88791,7.48244,3.13087,5.51191,-2.05113,3.53815,1.84562,-0.60742,-0.24049,-1.38838,0.276,16.31,-38.593,303.377,-17.011,-53.933,3.76334518,6.21042785,5.2207007,2.5
2.60919,6.02429,5.49388,7.40449,3.73504,5.23387,-3.22142,3.08316,1.37251,0.03653,-0.66553,-0.45842,-2.35,18.561,-40.216,309.093,-21.185,-53.557,3.099470308,6.3523829,4.829407336,2.5
2.98428,7.09522,5.00864,7.22125,4.17666,5.15552,-2.74578,3.81893,0.91283,0.17288,0.35446,-0.42166,-3.036,15.561,-40.654,312.592,-24.874,-54.722,3.422280667,7.420158942,4.190916955,2.5
1.44698,6.68617,5.62309,6.58402,4.63502,5.59801,-3.74371,3.39206,0.81725,0.33693,0.73422,-0.2981,-0.85,16.31,-44.467,311.629,-27.068,-51.608,1.988602333,7.105122532,4.896984389,2.5
0.67188,7.49779,4.53206,6.07378,4.97494,5.87619,-4.09324,3.3712,-0.46125,-0.08064,0.4791,0.27875,1.714,13.748,-46.654,308.189,-30.607,-46.342,1.132338291,7.854533901,3.772526031,2.5
4.3053,9.6618,5.38174,6.34006,4.67792,5.83876,-0.86808,5.70963,1.67126,-0.17758,0.23622,0.25584,4.338,14.499,-40.654,306.497,-28.919,-47.262,4.83044547,10.03052454,4.111506635,2.5
-0.47372,8.16872,6.47594,5.70882,4.48106,6.59544,-4.08149,4.78115,0.25284,-0.80876,0.58722,-0.35667,6.902,18.561,-39.029,311.912,-27.361,-41.918,0.273229545,8.650614991,5.829442671,2.5
2.63994,5.92163,4.26065,6.02267,4.30483,6.43167,-2.89837,2.69084,-0.98162,0.59207,-1.17685,1.24442,8.713,18.874,-38.593,312.867,-26.36,-41.465,3.100595225,6.200529779,3.482508176,2.5
7.39903,3.34534,1.66254,7.40191,3.65291,5.29512,1.64863,0.23723,-2.40652,0.3103,-1.21947,1.72537,3.214,16.685,-37.717,305.542,-23.466,-51.471,7.520883936,3.400511021,0.757504804,2.5
8.45934,6.33661,7.28444,8.42288,2.38426,4.42049,1.95157,3.28679,2.8306,0.14944,-0.69482,1.21086,-0.099,17.81,-38.593,302.521,-15.372,-61.22,8.995628307,6.606139964,6.341428213,2.5
6.00113,7.08598,5.58176,8.48705,2.09346,4.44498,0.01577,5.60984,1.08722,-0.17651,0.66286,-0.48824,-0.85,18.185,-39.404,301.398,-11.977,-63.021,6.415676182,7.267547209,4.837620822,2.5
