Row,DOWN
362,-0.195727982
363,-0.270600989
364,-0.270006602
365,-0.172951159
366,-0.091556279
367,-0.24119516
368,-0.30367299
369,0.310421285
370,0.046375656
371,-0.234651229
372,-0.57774413
373,-0.234863286
374,0.005652005
375,0.381580279
376,0.19115279
377,0.181078914
378,-0.106573078
379,-0.292164793
380,-0.268748265
381,-0.066885455
382,-0.018811631
383,0.130013467
384,0.184947833
385,0.186078329
386,0.200849512
387,-0.066159814
388,-0.391257916
389,-0.255891946
390,-0.010723393
391,0.051198788
392,0.259549355
393,0.147999334
394,0.091268508
395,-0.088253513
396,-0.284194954
397,-0.229762312
398,-0.055462909
399,-0.008867726
400,0.222496277
401,0.259702897
402,0.106547855
403,-0.227488491
404,-0.355739965
405,-0.250088043
406,-0.118825543
407,0.312199796
408,0.160504556
409,0.282318093
410,0.088728124
411,-0.230985603
412,-0.338694198
413,-0.082530327
414,0.10558987
415,-0.130401084
416,0.157757912
417,0.232718269
418,0.030673935
419,-0.228054583
420,-0.298191559
421,-0.236359935
422,-0.207694993
423,0.094620743
424,0.302150137
425,0.196629873
426,0.027640399
427,-0.272226882
428,-0.239712669
429,-0.044863548
430,0.126591895
431,0.228170859
432,0.321315448
433,0.046689562
434,-0.274038552
435,-0.10245093
436,-0.122791811
437,0.197576365
438,0.161916625
439,0.084245346
440,-0.114605084
441,-0.320555341
442,-0.124649834
443,0.046514585
444,0.119781911
445,0.14967371
446,0.042013634
447,-0.160279605
448,-0.162090307
449,-0.210921584
450,0.139248688
451,0.308025738
452,0.127609945
453,-0.354508051
454,-0.11522675
455,0.127975375
456,0.218329027
457,-0.04355033
458,-0.245182964
459,-0.125493265
460,0.182886035
461,0.108434544
462,0.050189139
463,-0.230609472
464,-0.031484726
465,0.126725206
466,0.113715328
467,-0.005143942
468,0.015020789
469,0.093205725
470,-0.134388362
471,-0.153707201
472,0.19780536
473,0.128808865
474,-0.116118878
475,-0.442160004
476,-0.052898859
477,-0.057260437
478,0.482926521
479,0.185303977
480,0.166543833
481,-0.138205173
482,-0.433780766
483,-0.233612517
484,-0.121636956
485,0.094190878
486,0.542651869
487,0.144063072
488,0.080777701
489,-0.07333575
490,-0.242532691
491,-0.135242142
492,0.167307312
493,0.025419464
494,-0.144440535
495,-0.246664784
496,0.193510827
497,0.069848121
498,0.023171558
499,-0.024562234
500,0.02185349
501,-0.156640159
502,0.22454875
503,0.01991017
504,-0.167671485
505,-0.228173117
506,0.002861243
507,0.143501201
508,0.141952765
509,-0.044855375
510,-0.199256494
511,-0.21483421
512,-0.271702852
513,0.179687933
514,0.217385576
515,0.04550759
516,-0.292622897
517,-0.293478654
518,-0.092042207
519,-0.019867995
520,0.289892703
521,0.178453659
522,0.053028349
523,-0.203580312
524,-0.312468967
525,-0.158260499
526,0.031925509
527,0.134420038
528,0.143544739
