ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER Z,GRAVITY X,GRAVITY Y ,GRAVITY Z ,LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z ,GYROSCOPE X,GYROSCOPE Y,GYROSCOPE Z,LIGHT,MAGNETIC FIELD X,MAGNETIC FIELD Y ,MAGNETIC FIELD Z ,ORIENTATION Z,ORIENTATION X,ORIENTATION Y,PROXIMITY,ATMOSPHERIC PRESSURE,SOUND LEVEL,OUT,,,,,,,,
-0.4501,6.9075,0.7686,-0.2437,9.7415,1.1016,-0.4889,-2.3576,-0.5365,0.4759,0.2684,0.3042,5399,3.36,-28.26,32.4,196.32,-83.39,12.48,3.1,993.75,49.771,0,,,,,,,,
0.8595,5.6337,0.4693,0.0854,9.7559,0.9923,-0.3799,-4.0432,-0.0729,-0.7214,-0.1335,0.5052,5090,-0.72,-27.6,31.62,173.81,-84.17,-4.92,3.1,993.76,49.452,0,,,,,,,,
-0.7853,7.2427,0.5674,-0.0338,9.7543,1.0116,-0.5002,-2.2386,-0.2455,-0.0806,-0.0309,-0.1014,5363,1.68,-28.32,33,184.97,-84.08,1.91,3.1,993.75,48.035,0,,,,,,,,
-0.5148,6.7973,1.1277,-0.421,9.6859,1.4755,-0.4266,-2.515,1.3091,0.0343,0.0375,-0.1393,4394,-2.52,-30.48,32.58,189.51,-81,15.93,3.1,993.75,57.156,0,,,,,,,,
0.0072,8.0974,2.9426,-0.1663,9.7692,0.8395,0.6691,-1.1474,2.4407,-0.0292,-0.1427,-0.2028,3523,-0.06,-27.9,34.2,190.49,-84.99,11.21,3.1,993.74,47.182,0,,,,,,,,
-1.3719,8.8133,0.2107,-0.2894,9.7865,0.5571,-0.5941,-0.6332,-0.8827,-0.0396,0.1426,0.0635,3175,2.46,-27.06,35.16,209.39,-86.33,27.45,3.1,993.73,45.518,0,,,,,,,,
2.5331,9.0695,-0.4549,0.0364,9.7649,0.9028,1.7019,-0.3363,-1.396,-0.105,-0.4554,0.1234,3096,3.12,-28.98,33.66,182.55,-84.71,-2.31,3.1,993.74,45.66,0,,,,,,,,
-1.3552,10.724,0.9074,-0.0067,9.7589,0.9665,-0.0244,2.3035,1.7151,-0.243,0.1805,0.0171,2798,2.76,-27.78,34.02,185.06,-84.34,0.4,3.1,993.74,51.843,0,,,,,,,,
1.1708,10.281,0.9817,0.0956,9.7855,0.6365,1.0752,0.4955,0.3451,-0.1154,-1.018,0.2602,3020,-0.3,-26.64,33.96,171.86,-86.24,-8.54,3.1,993.74,54.978,0,,,,,,,,
-0.4334,14.5309,1.2402,-0.1999,9.771,0.8105,-0.5495,3.6991,3.2286,-1.3157,-0.208,0.3519,2786,4.08,-25.74,34.26,221.75,-87.64,36.21,3.1,993.73,46.317,0,,,,,,,,
-1.6257,12.9698,3.6896,-0.206,9.7934,0.4649,0.218,3.6193,-1.4777,-0.4764,-0.0535,-0.1319,2914,2.52,-26.22,34.44,207.91,-87.03,23.9,3.1,993.72,48.396,0,,,,,,,,
0.9745,11.6434,-1.7478,-0.2922,9.7998,0.221,0.1773,3.0407,-0.4963,-0.3878,-0.1195,0.1845,2969,2.46,-26.04,34.68,234.89,-87.86,52.9,3.1,993.72,43.36,0,,,,,,,,
1.4054,12.8309,-1.8316,-0.125,9.7939,0.4828,1.1186,2.5773,-1.304,0.2689,-0.5123,0.1979,3500,2.82,-27.24,34.86,198.71,-87.09,14.51,3.1,993.72,46.233,0,,,,,,,,
-0.4956,12.4478,1.3911,-0.2521,9.8019,0.1706,-0.107,2.3371,0.8039,-0.0054,0.335,-0.0904,3154,4.86,-26.04,34.98,242.89,-88.22,55.91,3.1,993.73,44.16,0,,,,,,,,
-0.51,13.4151,0.6393,-0.3248,9.7831,0.5962,1.1509,2.7653,-1.8125,0.0025,-0.5336,0.2584,3483,1.86,-26.94,33.9,206.04,-85.9,24.05,3.1,993.73,44.516,0,,,,,,,,
-0.8308,12.6537,0.8021,-0.1859,9.7987,0.3488,-0.4007,2.2828,0.6209,0.4087,0.3381,-0.1051,3337,5.1,-26.52,33.84,189.28,-85.75,1.42,3.1,993.72,51.809,0,,,,,,,,
0.0311,12.7328,2.8612,-0.4073,9.739,1.0748,0.5078,2.4071,0.6922,-0.0818,-0.0187,0.0672,3309,0.66,-29.22,33.24,200.55,-83.27,20.75,3.1,993.74,44.012,0,,,,,,,,
1.925,8.6745,-0.3256,0.3962,9.7523,0.9519,1.5288,-2.3157,-1.6798,0.2499,0.3423,-0.1906,3378,2.46,-27.84,32.82,162.33,-83.96,-22.6,3.1,993.73,44.254,0,,,,,,,,
-0.0192,11.6841,1.4988,0.0842,9.7274,1.2413,-0.0147,1.0516,0.4227,0.4533,0.3362,-0.124,2544,-0.42,-29.7,32.34,176.51,-82.71,-3.88,3.1,993.73,46.399,0,,,,,,,,
0.7853,8.6026,-0.1915,0.1487,9.776,0.7606,0.311,-1.7623,-1.0479,0.1143,-0.26,0.2358,2234,2.4,-28.08,33.84,172.75,-85.47,-11.06,3.1,993.76,49.634,0,,,,,,,,
-0.2275,10.0129,1.1253,0.029,9.7546,1.0086,-0.2564,0.2583,0.1167,0.4985,0.2422,-0.4771,2121,-1.44,-29.34,32.22,165.88,-82.68,-13.84,3.1,993.78,55.948,0,,,,,,,,
-0.17,6.3855,-0.4046,0.3586,9.759,0.8966,-0.3131,-2.8778,-1.7059,0.5065,-0.1244,0.0922,1979,2.58,-28.74,33.18,174.43,-83.09,-11.31,3.1,993.8,57.714,0,,,,,,,,
0.5722,6.5843,-0.8643,0.171,9.7537,1.0035,0.4012,-3.1694,-1.8678,0.0685,-0.1408,0.0165,1833,-0.72,-28.98,33.3,169.69,-83.41,-9.54,3.1,993.79,53.255,0,,,,,,,,
-0.0168,6.4238,-0.4405,-0.0733,9.7444,1.1009,-0.3122,-3.3014,-1.2063,0.2004,-0.1158,0.3971,1793,2.16,-27.84,32.82,186.69,-83.54,3.81,3.1,993.77,55.44,0,,,,,,,,
0.6153,6.0743,0.0694,0.1668,9.7454,1.0816,-0.0543,-4.1188,-0.1262,-0.3017,-0.004,0.2156,1927,-1.56,-28.86,32.76,168.79,-83.59,-8.77,3.1,993.78,56.706,0,,,,,,,,
-1.0271,6.4885,0.7662,-0.0415,9.7724,0.8172,-0.7726,-2.6231,-0.1708,0.0758,-0.0743,-0.0629,2373,2.82,-27.9,32.16,187.73,-85.21,2.91,3.1,993.78,57.395,0,,,,,,,,
