ORIENTATION_X,ORIENTATION_Y,ORIENTATION_Z
-69.3,-3.9,16.8
-69.1,-3.8,19.7
-67.9,-6.0,24.5
-71.4,-3.7,195.7
-71.7,-3.4,195.8
-69.9,-2.8,196.2
-70.6,-1.0,194.2
-70.8,-4.8,194.0
-69.1,-5.2,194.7
-67.9,-4.7,190.5
-65.9,-0.9,196.2
-65.9,-1.2,196.6
-67.8,-1.1,198.2
-67.7,-3.0,200.8
-67.7,-7.3,202.3
-67.6,-9.1,201.8
-76.4,1.2,10.8
-77.2,0.8,11.6
-78.9,4.8,14.4
-79.1,9.0,18.8
-77.4,7.8,18.1
-78.5,5.8,15.5
-78.1,2.9,10.9
-77.4,5.5,13.8
-77.9,13.2,21.8
-78.1,13.1,20.4
-78.1,6.2,15.8
-79.3,5.4,17.6
-75.1,-7.9,9.9
-69.5,-3.0,191.4
-70.4,-4.4,192.7
-73.7,-4.4,192.9
-74.2,-5.1,193.3
-75.5,-11.2,188.0
-76.7,-8.2,193.3
-77.8,-8.0,195.0
-80.0,-12.9,187.4
-78.9,-15.0,182.7
-76.8,-11.5,183.0
-76.6,-3.4,189.0
-77.7,-5.2,190.1
-78.6,-7.9,187.5
-79.0,-7.9,187.0
-75.8,-10.5,185.2
-68.6,-6.5,190.0
-68.1,-5.6,188.3
-68.0,-5.4,188.4
-65.9,-4.9,187.8
-66.0,-4.9,187.9
-65.0,-4.2,189.0
-64.2,-0.5,190.2
-63.6,-1.2,187.8
-63.8,-1.5,191.9
-64.4,-2.2,191.7
-64.8,-6.6,193.5
-64.5,-6.9,193.9
-65.5,-8.8,198.3
-66.2,-7.6,200.9
-65.6,-6.5,205.1
-66.8,-7.6,206.0
-66.6,-7.4,206.0
-71.3,-6.9,358.1
-72.3,-4.9,2.1
-71.1,-4.9,3.4
-71.1,-4.3,4.4
-70.2,-4.6,3.9
-68.5,-4.6,3.7
-69.2,-2.9,3.9
-72.5,6.2,9.9
-74.7,7.1,9.5
-74.9,4.9,6.9
-69.3,-11.8,183.9
-71.2,-10.2,184.5
-72.2,-9.7,184.9
-72.4,-11.8,181.0
-72.0,-11.4,176.6
-70.9,-10.4,179.7
-70.5,-8.8,182.8
-70.6,-7.8,181.4
-73.9,-9.2,179.5
-72.8,-9.6,183.6
-71.9,-18.0,178.3
-69.8,-19.9,178.4
-65.3,-11.3,348.1
-67.4,-9.0,349.5
-67.6,-9.0,349.6
-68.5,-11.3,347.0
-69.6,-13.5,344.5
-69.7,-16.4,339.5
-69.0,-13.4,342.9
-69.2,-10.2,346.6
-70.1,-9.1,348.0
-71.3,-9.6,350.5
-72.2,-10.1,349.9
-76.9,-7.1,356.6
-80.8,-7.9,355.9
-82.4,-14.8,351.5
-79.2,-20.4,347.9
